"prolific_id","condition","overall_score","avg_bonus"
"568814bcd7848e000c399af8","Level2",52,1.04
"5865dd647fbbcd00013973b8","Level1",85,1.7
"58f669cefb4d7500014af69b","Level1",38,0.76
"59735dceed4ba80001b4972e","Level1",73,1.46
"597fe89a1b41a20001749f57","Level1",44,0.88
"59b113c88951ea0001aa49d7","Level1",11,0.22
"5a5e2307f6c5170001952f95","Level1",98,1.96
"5a61f52663394a0001553ac0","Level1",51,1.02
"5a79d9cc5292b800012290b9","Level2",43,0.86
"5a8e9c6d1904200001565400","Level2",62,1.24
"5a94d2e989de8200013ecab6","Level2",70,1.4
"5b1804c9316c630001abfc84","Level1",49,0.98
"5b77869d338a9300015468cf","Level2",51,1.02
"5b97f70161c19e00018db4a8","Level1",148,2.96
"5b9cb73bb8d79e0001813ee8","Level1",37,0.74
"5b9f17d70611410001071b99","Level1",41,0.82
"5ba4d6c929629d00014e6c28","Level1",50,1
"5ba9cc1c8e137f0001624ff5","Level2",32,0.64
"5bbc3d95f1f9ba000141d855","Level2",9,0.18
"5bdc609519b9ba000157d122","Level2",105,2.1
"5bdcc1bc2562330001b8f7b3","Level2",59,1.18
"5c0333c84e1b7b00016a83fd","Level1",57,1.14
"5c0d1cbc17161b0001c4d884","Level1",21,0.42
"5c1a4b381cd52500019c77da","Level1",5,0.1
"5c1d232074ad0b0001531eea","Level1",78,1.56
"5c1f694cce8ff10001aa3e0b","Level1",107,2.14
"5c3872541736360001471ca0","Level2",115,2.3
"5c4c57609446be00017e6746","Level1",74,1.48
"5c54e4d276146900011656c1","Level1",126,2.52
"5c5a025b6726510001187814","Level1",41,0.82
"5c65ed60d9c5be00017428bf","Level2",38,0.76
"5c9265c8830b0b000163bd33","Level2",32,0.64
"5cb0d94aff629100171b05b1","Level2",61,1.22
"5cb206ee3d6647001724d5af","Level1",116,2.32
"5cb5d78329f6ff00167f5e24","Level2",115,2.3
"5cbf555116ff0d0017b0f3ce","Level2",38,0.76
"5ce1099a025b0b001ae923bb","Level1",122,2.44
"5ce456e6f54a8b0001d97020","Level2",42,0.84
"5cf03d69b094d700013e4d54","Level2",67,1.34
"5d0b2b0c1a137600017ec5ba","Level2",132,2.64
"5d18cf6eb3e698001eea9960","Level2",27,0.54
"5d2591d8215be8001a487669","Level2",54,1.08
"5d3b64b5d0d79700182b3367","Level1",101,2.02
"5d4bfd1ea8d9fb0016146d9c","Level1",59,1.18
"5d50ef16ae079c0019f557d4","Level1",60,1.2
"5d51e7563b105f001956e74a","Level1",52,1.04
"5d52bf7c88e74b00177db75e","Level2",66,1.32
"5d52f8d73826ad0019fb15ad","Level1",121,2.42
"5d5301915d64d20001a69221","Level2",99,1.98
NA,"Level2",77,1.54
